[2025-10-27 00:30:26] emp_id=EMP0002, username=ravi.eng, email=ravi.eng@epts.com
[2025-10-27 00:34:19] emp_id=EMP0003, username=ravi.mgr, email=ravi.mgr@epts.com
[2025-10-27 00:54:08] emp_id=EMP0002, username=raj.eng, email=raj.eng@epts.com
[2025-10-27 00:54:26] emp_id=EMP0003, username=neha.hr, email=neha.hr@epts.com
[2025-10-27 00:54:33] emp_id=EMP0004, username=arjun.sm, email=arjun.sm@epts.com
[2025-10-27 00:54:40] emp_id=EMP0005, username=kavita.qa, email=kavita.qa@epts.com
[2025-10-27 00:54:48] emp_id=EMP0006, username=rakesh.fin, email=rakesh.fin@epts.com
[2025-10-27 01:02:40] emp_id=EMP0007, username=suresh.eng, email=suresh.eng@epts.com
[2025-10-27 01:03:05] emp_id=EMP0008, username=meena.eng, email=meena.eng@epts.com
[2025-10-27 01:03:25] emp_id=EMP0009, username=vijay.eng, email=vijay.eng@epts.com
[2025-10-27 01:03:38] emp_id=EMP0010, username=pooja.eng, email=pooja.eng@epts.com
[2025-10-27 01:03:50] emp_id=EMP0011, username=ajay.eng, email=ajay.eng@epts.com
[2025-10-27 01:04:00] emp_id=EMP0012, username=neeraj.eng, email=neeraj.eng@epts.com
[2025-10-27 01:08:46] emp_id=EMP0013, username=anita.hr, email=anita.hr@epts.com
[2025-10-27 01:08:48] emp_id=EMP0014, username=rohit.hr, email=rohit.hr@epts.com
[2025-10-27 01:08:49] emp_id=EMP0015, username=sonal.hr, email=sonal.hr@epts.com
[2025-10-27 01:08:51] emp_id=EMP0016, username=deepak.hr, email=deepak.hr@epts.com
[2025-10-27 01:08:53] emp_id=EMP0017, username=sneha.hr, email=sneha.hr@epts.com
[2025-10-27 01:08:54] emp_id=EMP0018, username=alok.hr, email=alok.hr@epts.com
[2025-10-27 01:17:32,859] INFO — Temp password recreated for EMP0002 (raj.eng, raj.eng@epts.com) => Raj@2580
[2025-10-27 01:17:34,097] INFO — Temp password recreated for EMP0003 (neha.hr, neha.hr@epts.com) => Neha@0002
